iter	MultiClass
0	1.069747058
1	1.043608124
2	1.01990328
3	0.9989591201
4	0.9797440956
5	0.9616627126
6	0.9453777912
7	0.930418104
8	0.9164280235
9	0.9035443329
10	0.8914383115
11	0.8806225278
12	0.8702493843
13	0.8605871488
14	0.851341199
15	0.8430273453
16	0.8348071765
17	0.8272935469
18	0.8201212914
19	0.8141840938
20	0.8082001798
21	0.8021831828
22	0.7969758644
23	0.7920692083
24	0.7867518878
25	0.781952887
26	0.7772553373
27	0.7728907085
28	0.7687280468
29	0.7651228212
30	0.7618363802
31	0.7584436128
32	0.7551279868
33	0.75249922
34	0.749660947
35	0.7467038864
36	0.7440235527
37	0.7417852802
38	0.7395580307
39	0.7375027005
40	0.7351602973
41	0.732581861
42	0.7306076462
43	0.7288584763
44	0.7271497112
45	0.7256897195
46	0.7242471216
47	0.7225688482
48	0.7207256783
49	0.7190051482
50	0.7175382891
51	0.7165886225
52	0.7150975534
53	0.7138840413
54	0.7126159739
55	0.7112728598
56	0.7100996862
57	0.7087571163
58	0.7076598644
59	0.7066877339
60	0.7055736855
61	0.7046203091
62	0.7036034236
63	0.7025861301
64	0.7015158558
65	0.7007995971
66	0.6996378858
67	0.6988126238
68	0.6982596725
69	0.6971243789
70	0.6963955871
71	0.6955884721
72	0.6946885853
73	0.6937434104
74	0.6930634738
75	0.6923416546
76	0.6917816488
77	0.6908888255
78	0.6903682334
79	0.6896450573
80	0.6887773739
81	0.6880606809
82	0.6873180765
83	0.6865579483
84	0.6858469212
85	0.6851964898
86	0.6845589948
87	0.6838376744
88	0.6831354018
89	0.6826068472
90	0.6820834362
91	0.6815814431
92	0.6809716825
93	0.680380723
94	0.6797452866
95	0.6793251331
96	0.6787178908
97	0.6783633241
98	0.677831887
99	0.6773784255
