iter	Passed	Remaining
0	9	961
1	19	964
2	28	911
3	37	909
4	47	896
5	56	883
6	66	878
7	75	869
8	85	859
9	94	851
10	104	845
11	113	832
12	123	825
13	133	818
14	142	809
15	151	795
16	161	786
17	170	777
18	179	765
19	189	759
20	198	746
21	207	736
22	216	726
23	226	716
24	235	705
25	243	694
26	253	684
27	262	674
28	271	664
29	280	653
30	289	644
31	298	634
32	307	623
33	315	613
34	324	603
35	333	593
36	343	584
37	351	573
38	361	564
39	369	554
40	378	545
41	386	534
42	395	524
43	409	521
44	419	513
45	429	503
46	438	494
47	447	485
48	457	475
49	467	467
50	477	458
51	486	448
52	496	440
53	505	430
54	514	421
55	525	412
56	536	404
57	547	396
58	556	386
59	565	377
60	576	368
61	584	358
62	595	349
63	604	339
64	614	331
65	623	321
66	633	312
67	645	303
68	655	294
69	666	285
70	675	275
71	684	266
72	693	256
73	702	246
74	711	237
75	722	228
76	732	218
77	743	209
78	752	200
79	761	190
80	771	180
81	781	171
82	790	162
83	799	152
84	809	142
85	817	133
86	826	123
87	837	114
88	848	104
89	859	95
90	867	85
91	876	76
92	886	66
93	894	57
94	904	47
95	913	38
96	923	28
97	932	19
98	941	9
99	951	0
